price,area,level,market,building,num_of_rooms,city,district,price_per_m2
345000.0,52.0,2,Wtórny,Blok,2 pokoje,Bydgoszcz,-,6635.0
597000.0,94.06,1,Wtórny,Kamienica,4 i więcej,Bydgoszcz,-,6347.0
359900.0,40.0,3,Wtórny,Blok,1 pokój,Bydgoszcz,-,8998.0
339000.0,34.0,3,Wtórny,Blok,2 pokoje,Bydgoszcz,-,9971.0
449000.0,41.21,1,Pierwotny,Apartamentowiec,2 pokoje,Bydgoszcz,-,10895.0
915000.0,71.0,2,Wtórny,Apartamentowiec,3 pokoje,Bydgoszcz,-,12887.0
319000.0,50.5,0,Wtórny,Blok,2 pokoje,Bydgoszcz,-,6317.0
528000.0,71.0,1,Wtórny,Pozostałe,3 pokoje,Bydgoszcz,-,7437.0
239000.0,26.0,3,Wtórny,Blok,1 pokój,Bydgoszcz,-,9192.0
309000.0,51.0,3,Wtórny,Blok,2 pokoje,Bydgoszcz,-,6059.0
510000.0,72.9,4,Wtórny,Blok,4 i więcej,Bydgoszcz,-,6996.0
295000.0,45.0,4,Wtórny,Blok,3 pokoje,Bydgoszcz,-,6556.0
865000.0,83.0,5,Wtórny,Apartamentowiec,3 pokoje,Bydgoszcz,-,10422.0
450000.0,69.4,1,Wtórny,Blok,4 i więcej,Bydgoszcz,-,6484.0
400000.0,57.0,3,Wtórny,Blok,3 pokoje,Bydgoszcz,-,7018.0
416000.0,42.0,1,Wtórny,Blok,2 pokoje,Bydgoszcz,-,9905.0
565000.0,84.0,2,Wtórny,Blok,4 i więcej,Bydgoszcz,-,6726.0
535000.0,59.0,1,Wtórny,Blok,3 pokoje,Bydgoszcz,-,9068.0
200000.0,19.9,0,Wtórny,Blok,1 pokój,Bydgoszcz,-,10050.0
245000.0,50.0,3,Wtórny,Kamienica,2 pokoje,Bydgoszcz,-,4900.0
380000.0,42.42,3,Wtórny,Blok,2 pokoje,Bydgoszcz,-,8958.0
457000.0,73.0,3,Wtórny,Kamienica,4 i więcej,Bydgoszcz,-,6260.0
190000.0,59.41,Suterena,Wtórny,Pozostałe,2 pokoje,Bydgoszcz,-,3198.0
830000.0,90.5,2,Wtórny,Blok,4 i więcej,Bydgoszcz,-,9171.0
265000.0,34.0,3,Wtórny,Blok,1 pokój,Bydgoszcz,-,7794.0
1350000.0,250.0,0,Wtórny,Kamienica,4 i więcej,Bydgoszcz,-,5400.0
174000.0,26.0,1,Wtórny,Kamienica,1 pokój,Bydgoszcz,-,6692.0
399999.0,55.0,8,Wtórny,Blok,3 pokoje,Bydgoszcz,-,7273.0
600000.0,70.9,3,Wtórny,Blok,3 pokoje,Bydgoszcz,-,8463.0
279000.0,29.0,6,Pierwotny,Apartamentowiec,2 pokoje,Bydgoszcz,-,9621.0
659000.0,75.0,1,Wtórny,Blok,4 i więcej,Bydgoszcz,-,8787.0
335000.0,48.3,3,Wtórny,Blok,2 pokoje,Bydgoszcz,-,6936.0
430000.0,64.97,2,Wtórny,Blok,3 pokoje,Bydgoszcz,-,6618.0
305000.0,47.26,3,Wtórny,Blok,2 pokoje,Bydgoszcz,-,6454.0
635000.0,55.0,3,Pierwotny,Apartamentowiec,3 pokoje,Bydgoszcz,-,11545.0
420000.0,57.0,10,Pierwotny,Blok,3 pokoje,Bydgoszcz,-,7368.0
300000.0,42.4,4,Wtórny,Blok,2 pokoje,Bydgoszcz,-,7075.0
325000.0,56.9,0,Wtórny,Blok,3 pokoje,Bydgoszcz,-,5712.0
199900.0,25.0,2,Wtórny,Kamienica,1 pokój,Bydgoszcz,-,7996.0
